Area,Age,Sex,Year at 30 June,Value,Flags
"Waitakere Ranges local board area","40-44 Years","Female","2005",2250,
"Waitakere Ranges local board area","40-44 Years","Female","2006",2210,
"Aotea/Great Barrier local board area","40-44 Years","Female","2001",55,
"Aotea/Great Barrier local board area","40-44 Years","Female","2002",45,
"Aotea/Great Barrier local board area","40-44 Years","Female","2003",40,
"Aotea/Great Barrier local board area","40-44 Years","Female","2004",35,
"Aotea/Great Barrier local board area","40-44 Years","Female","2005",25,
"Aotea/Great Barrier local board area","40-44 Years","Female","2006",25,
"Waiheke local board area","40-44 Years","Female","2001",330,
"Waiheke local board area","40-44 Years","Female","2002",340,
"Waiheke local board area","40-44 Years","Female","2003",350,
"Waiheke local board area","40-44 Years","Female","2004",360,
"Waiheke local board area","40-44 Years","Female","2005",360,
"Waiheke local board area","40-44 Years","Female","2006",370,
"Waitemata local board area","40-44 Years","Female","2001",1880,
"Waitemata local board area","40-44 Years","Female","2002",1990,
"Waitemata local board area","40-44 Years","Female","2003",2140,
"Waitemata local board area","40-44 Years","Female","2004",2210,
"Waitemata local board area","40-44 Years","Female","2005",2240,
"Waitemata local board area","40-44 Years","Female","2006",2230,
"Whau local board area","40-44 Years","Female","2001",2510,
"Whau local board area","40-44 Years","Female","2002",2630,
"Whau local board area","40-44 Years","Female","2003",2780,
"Whau local board area","40-44 Years","Female","2004",2880,
"Whau local board area","40-44 Years","Female","2005",2930,
"Whau local board area","40-44 Years","Female","2006",3050,
"Albert-Eden local board area","40-44 Years","Female","2001",3620,
"Albert-Eden local board area","40-44 Years","Female","2002",3850,
"Albert-Eden local board area","40-44 Years","Female","2003",4040,
"Albert-Eden local board area","40-44 Years","Female","2004",4160,
"Albert-Eden local board area","40-44 Years","Female","2005",4220,
"Albert-Eden local board area","40-44 Years","Female","2006",4260,
"Puketapapa local board area","40-44 Years","Female","2001",2040,
"Puketapapa local board area","40-44 Years","Female","2002",2150,
"Puketapapa local board area","40-44 Years","Female","2003",2260,
"Puketapapa local board area","40-44 Years","Female","2004",2250,
"Puketapapa local board area","40-44 Years","Female","2005",2240,
"Puketapapa local board area","40-44 Years","Female","2006",2270,
"Orakei local board area","40-44 Years","Female","2001",3100,
"Orakei local board area","40-44 Years","Female","2002",3250,
"Orakei local board area","40-44 Years","Female","2003",3340,
"Orakei local board area","40-44 Years","Female","2004",3360,
"Orakei local board area","40-44 Years","Female","2005",3380,
"Orakei local board area","40-44 Years","Female","2006",3340,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2001",2270,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2002",2360,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2003",2500,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2004",2530,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2005",2560,
"Maungakiekie-Tamaki local board area","40-44 Years","Female","2006",2580,
"Howick local board area","40-44 Years","Female","2001",4210,
"Howick local board area","40-44 Years","Female","2002",4470,
"Howick local board area","40-44 Years","Female","2003",4780,
"Howick local board area","40-44 Years","Female","2004",5060,
"Howick local board area","40-44 Years","Female","2005",5340,
"Howick local board area","40-44 Years","Female","2006",5520,
"Mangere-Otahuhu local board area","40-44 Years","Female","2001",2060,
"Mangere-Otahuhu local board area","40-44 Years","Female","2002",2180,
"Mangere-Otahuhu local board area","40-44 Years","Female","2003",2260,
"Mangere-Otahuhu local board area","40-44 Years","Female","2004",2330,
"Mangere-Otahuhu local board area","40-44 Years","Female","2005",2400,
"Mangere-Otahuhu local board area","40-44 Years","Female","2006",2450,
"Otara-Papatoetoe local board area","40-44 Years","Female","2001",2290,
"Otara-Papatoetoe local board area","40-44 Years","Female","2002",2390,
"Otara-Papatoetoe local board area","40-44 Years","Female","2003",2520,
"Otara-Papatoetoe local board area","40-44 Years","Female","2004",2580,
"Otara-Papatoetoe local board area","40-44 Years","Female","2005",2590,
"Otara-Papatoetoe local board area","40-44 Years","Female","2006",2690,
"Manurewa local board area","40-44 Years","Female","2001",2490,
"Manurewa local board area","40-44 Years","Female","2002",2690,
"Manurewa local board area","40-44 Years","Female","2003",2900,
"Manurewa local board area","40-44 Years","Female","2004",2950,
"Manurewa local board area","40-44 Years","Female","2005",3010,
"Manurewa local board area","40-44 Years","Female","2006",3040,
"Papakura local board area","40-44 Years","Female","2001",1420,
"Papakura local board area","40-44 Years","Female","2002",1470,
"Papakura local board area","40-44 Years","Female","2003",1570,
"Papakura local board area","40-44 Years","Female","2004",1590,
"Papakura local board area","40-44 Years","Female","2005",1660,
"Papakura local board area","40-44 Years","Female","2006",1670,
"Franklin local board area","40-44 Years","Female","2001",2240,
"Franklin local board area","40-44 Years","Female","2002",2380,
"Franklin local board area","40-44 Years","Female","2003",2480,
"Franklin local board area","40-44 Years","Female","2004",2600,
"Franklin local board area","40-44 Years","Female","2005",2680,
"Franklin local board area","40-44 Years","Female","2006",2720,
"Rodney local board area","15-19 Years","Female","2007",1790,
"Rodney local board area","15-19 Years","Female","2008",1770,
"Rodney local board area","15-19 Years","Female","2009",1770,
"Rodney local board area","15-19 Years","Female","2010",1810,
"Rodney local board area","15-19 Years","Female","2011",1820,
"Rodney local board area","15-19 Years","Female","2012",1850,
"Hibiscus and Bays local board area","15-19 Years","Female","2007",3230,
"Hibiscus and Bays local board area","15-19 Years","Female","2008",3230,
"Hibiscus and Bays local board area","15-19 Years","Female","2009",3250,
"Hibiscus and Bays local board area","15-19 Years","Female","2010",3230,
"Hibiscus and Bays local board area","15-19 Years","Female","2011",3180,
"Hibiscus and Bays local board area","15-19 Years","Female","2012",3250,
"Upper Harbour local board area","15-19 Years","Female","2007",1790,
"Upper Harbour local board area","15-19 Years","Female","2008",1880,
"Upper Harbour local board area","15-19 Years","Female","2009",1970,
"Upper Harbour local board area","15-19 Years","Female","2010",2050,
"Upper Harbour local board area","15-19 Years","Female","2011",2070,
"Upper Harbour local board area","15-19 Years","Female","2012",2100,
"Kaipatiki local board area","15-19 Years","Female","2007",2920,
"Kaipatiki local board area","15-19 Years","Female","2008",2940,
"Kaipatiki local board area","15-19 Years","Female","2009",3020,
"Kaipatiki local board area","15-19 Years","Female","2010",3010,
"Kaipatiki local board area","15-19 Years","Female","2011",2940,
"Kaipatiki local board area","15-19 Years","Female","2012",2890,
"Devonport-Takapuna local board area","15-19 Years","Female","2007",1980,
"Devonport-Takapuna local board area","15-19 Years","Female","2008",1980,
"Devonport-Takapuna local board area","15-19 Years","Female","2009",1990,
"Devonport-Takapuna local board area","15-19 Years","Female","2010",2010,
"Devonport-Takapuna local board area","15-19 Years","Female","2011",1980,
"Devonport-Takapuna local board area","15-19 Years","Female","2012",1990,
"Henderson-Massey local board area","15-19 Years","Female","2007",4120,
"Henderson-Massey local board area","15-19 Years","Female","2008",4150,
"Henderson-Massey local board area","15-19 Years","Female","2009",4240,
"Henderson-Massey local board area","15-19 Years","Female","2010",4280,
"Henderson-Massey local board area","15-19 Years","Female","2011",4280,
"Henderson-Massey local board area","15-19 Years","Female","2012",4230,
"Waitakere Ranges local board area","15-19 Years","Female","2007",1820,
"Waitakere Ranges local board area","15-19 Years","Female","2008",1840,
"Waitakere Ranges local board area","15-19 Years","Female","2009",1870,
"Waitakere Ranges local board area","15-19 Years","Female","2010",1880,
"Waitakere Ranges local board area","15-19 Years","Female","2011",1860,
"Waitakere Ranges local board area","15-19 Years","Female","2012",1820,
"Aotea/Great Barrier local board area","15-19 Years","Female","2007",15,
"Aotea/Great Barrier local board area","15-19 Years","Female","2008",10,
"Aotea/Great Barrier local board area","15-19 Years","Female","2009",10,
"Aotea/Great Barrier local board area","15-19 Years","Female","2010",15,
"Aotea/Great Barrier local board area","15-19 Years","Female","2011",20,
"Aotea/Great Barrier local board area","15-19 Years","Female","2012",15,
"Waiheke local board area","15-19 Years","Female","2007",220,
"Waiheke local board area","15-19 Years","Female","2008",240,
"Waiheke local board area","15-19 Years","Female","2009",250,
